count,timestamp,vane,wing,roll,pitch,yaw,lat,lon,speed,drag,lift,thrust,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,hours,min,sec
0,16523962,-168.4,0.0,-1.0,-0.6,316.4,37.956291,23.655691,0.23,0.0,0.0,1.2,0.01,-0.02,1.00,0.07,-0.14,-0.07,9,3,54
1,16524060,-168.4,0.0,-1.0,-0.7,316.3,37.956291,23.655691,0.23,0.0,0.0,1.2,0.01,-0.01,1.00,0.21,-0.14,0.00,9,3,54
2,16524157,-168.4,0.0,-1.1,-0.7,316.2,37.956291,23.655691,0.23,0.0,0.0,1.2,0.01,-0.01,1.00,0.14,-0.21,-0.07,9,3,54
3,16524254,-168.4,0.0,-1.0,-0.7,316.0,37.956291,23.655691,0.23,0.0,0.0,1.2,0.01,-0.01,1.00,0.21,-0.21,-0.14,9,3,54
4,16524352,-168.4,0.0,-1.0,-0.7,315.9,37.956291,23.655691,0.23,0.0,0.0,1.2,0.01,-0.01,1.00,0.21,-0.21,-0.07,9,3,54
5,16524449,-168.4,0.0,-1.0,-0.7,315.8,37.956291,23.655691,0.23,0.0,0.0,1.2,0.01,-0.01,1.00,0.14,-0.21,-0.07,9,3,54
6,16524547,-168.4,0.0,-0.8,-0.5,315.8,37.956291,23.655691,0.23,0.0,0.0,1.2,0.01,-0.01,1.00,0.14,-0.21,-0.14,9,3,54
7,16524644,-168.4,0.0,-0.7,-0.2,315.9,37.956291,23.655691,0.23,0.0,0.0,1.2,0.01,-0.01,1.01,0.21,-0.21,-0.07,9,3,54
8,16524741,-168.4,0.0,-0.7,-0.3,316.0,37.956291,23.655691,0.23,0.0,0.0,1.2,0.01,-0.01,1.01,0.14,-0.21,-0.14,9,3,54
9,16524839,-168.4,0.0,-0.7,-0.4,316.0,37.956291,23.655691,0.23,0.0,0.0,1.2,0.01,-0.01,1.00,0.14,-0.21,-0.14,9,3,54
