count,timestamp,vane,wing,roll,pitch,yaw,lat,lon,speed,drag,lift,thrust,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,hours,min,sec
0,75112813,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,-0.16,0.65,-0.49,55,67,247
1,75112911,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,-0.02,0.58,-0.42,55,67,247
2,75113008,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,-0.00,1.00,-0.09,0.65,-0.42,55,67,247
3,75113106,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,-0.00,1.00,-0.09,0.58,-0.42,55,67,247
4,75113203,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.01,1.00,-0.02,0.58,-0.42,55,67,247
5,75113300,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,-0.00,1.00,-0.02,0.65,-0.42,55,67,247
6,75113398,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,-0.09,0.65,-0.42,55,67,247
7,75113495,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,-0.00,1.00,-0.09,0.51,-0.49,55,67,247
8,75113592,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,-0.09,0.65,-0.49,55,67,247
9,75113690,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,-0.00,1.00,-0.09,0.65,-0.49,55,67,247
10,75113787,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,-0.09,0.58,-0.49,55,67,247
11,75113884,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,-0.09,0.65,-0.42,55,67,247
12,75113982,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,-0.09,0.65,-0.49,55,67,247
13,75114079,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,-0.09,0.58,-0.49,55,67,247
14,75114177,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,-0.02,0.58,-0.42,55,67,247
15,75114274,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,-0.00,1.00,-0.02,0.65,-0.49,55,67,247
16,75114371,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,-0.00,1.00,-0.09,0.58,-0.42,55,67,247
17,75114469,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,-0.09,0.65,-0.42,55,67,247
18,75114566,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,-0.09,0.58,-0.42,55,67,247
19,75114663,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.01,1.00,-0.09,0.58,-0.49,55,67,247
20,75114761,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,-0.16,0.65,-0.49,55,67,247
21,75114858,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,-0.09,0.65,-0.35,55,67,247
22,75114955,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,-0.02,0.58,-0.42,55,67,247
23,75115053,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,0.05,0.58,-0.42,55,67,247
24,75115150,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,-0.09,0.65,-0.49,55,67,247
25,75115248,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,-0.09,0.65,-0.49,55,67,247
26,75115345,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,-0.02,0.65,-0.42,55,67,247
27,75115442,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,-0.09,0.58,-0.42,55,67,247
28,75115540,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,-0.09,0.65,-0.42,55,67,247
29,75115637,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,-0.09,0.58,-0.42,55,67,247
30,75115734,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,-0.00,1.00,-0.09,0.58,-0.42,55,67,247
31,75115832,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,-0.09,0.58,-0.42,55,67,247
32,75115929,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,-0.02,0.58,-0.35,55,67,247
33,75116026,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,-0.01,1.00,-0.09,0.65,-0.42,55,67,247
34,75116124,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,-0.00,1.00,-0.09,0.58,-0.42,55,67,247
35,75116221,-170.5,0.0,-0.3,0.4,180.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,-0.01,1.00,-0.02,0.58,-0.42,55,67,247
