count,timestamp,vane,wing,roll,pitch,yaw,lat,lon,speed,drag,lift,thrust,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,hours,min,sec
0,15526233,-168.6,0.0,0.1,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,-0.00,1.01,0.14,-0.21,-0.07,55,67,247
1,15526330,-168.6,0.0,0.1,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.14,-0.14,55,67,247
2,15526428,-168.6,0.0,0.1,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,0.00,55,67,247
3,15526525,-168.6,0.0,0.1,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.14,-0.07,55,67,247
4,15526623,-168.6,0.0,0.1,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.14,-0.07,55,67,247
5,15526720,-168.6,0.0,0.1,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.21,-0.07,55,67,247
6,15526817,-168.6,0.0,0.1,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.14,55,67,247
7,15526915,-168.6,0.0,0.1,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.01,0.21,-0.14,-0.07,55,67,247
8,15527012,-168.6,0.0,0.0,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.14,55,67,247
9,15527109,-168.6,0.0,0.0,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.21,-0.14,55,67,247
10,15527207,-168.6,0.0,0.0,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,-0.00,1.01,0.21,-0.21,-0.14,55,67,247
11,15527304,-168.6,0.0,0.0,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.14,55,67,247
12,15527401,-168.6,0.0,0.1,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.21,-0.07,55,67,247
13,15527499,-168.6,0.0,0.1,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.14,-0.07,55,67,247
14,15527596,-168.6,0.0,0.1,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.07,55,67,247
15,15527694,-168.6,0.0,0.1,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.21,0.00,55,67,247
16,15527791,-168.6,0.0,0.1,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.14,-0.14,55,67,247
17,15527888,-168.6,0.0,0.1,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.28,-0.14,55,67,247
18,15527986,-168.6,0.0,0.1,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.14,55,67,247
19,15528083,-168.6,0.0,0.1,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.07,55,67,247
20,15528180,-168.6,0.0,0.1,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.14,-0.07,55,67,247
21,15528278,-168.6,0.0,0.1,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.01,0.14,-0.21,-0.07,55,67,247
22,15528375,-168.6,0.0,0.1,0.5,181.2,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.07,55,67,247
23,15528472,-168.6,0.0,0.1,0.5,181.2,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.14,-0.07,55,67,247
24,15528570,-168.6,0.0,0.1,0.5,181.2,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.14,-0.07,55,67,247
25,15528667,-168.6,0.0,0.1,0.5,181.2,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.14,-0.14,55,67,247
26,15528765,-168.6,0.0,0.1,0.5,181.2,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.07,-0.21,-0.07,55,67,247
27,15528862,-168.6,0.0,0.1,0.5,181.2,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.01,0.14,-0.14,-0.21,55,67,247
28,15528959,-168.6,0.0,0.1,0.5,181.2,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.14,-0.07,55,67,247
29,15529057,-168.6,0.0,0.1,0.5,181.2,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.14,-0.14,55,67,247
30,15529154,-168.6,0.0,0.1,0.5,181.2,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.21,-0.07,55,67,247
31,15529251,-168.6,0.0,0.1,0.5,181.2,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.01,0.21,-0.14,-0.14,55,67,247
