count,timestamp,vane,wing,roll,pitch,yaw,lat,lon,speed,drag,lift,thrust,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,hours,min,sec
0,2795109,-168.6,0.0,0.0,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.07,55,67,247
1,2795206,-168.6,0.0,0.0,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.07,-0.21,-0.14,55,67,247
2,2795303,-168.6,0.0,0.0,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.14,-0.07,55,67,247
3,2795401,-168.6,0.0,0.0,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.07,55,67,247
4,2795498,-168.6,0.0,0.0,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.21,-0.07,55,67,247
5,2795595,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.14,-0.07,55,67,247
6,2795693,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.14,-0.14,55,67,247
7,2795790,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.14,55,67,247
8,2795887,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.14,-0.07,55,67,247
9,2795985,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.14,-0.07,55,67,247
10,2796082,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.28,-0.21,-0.07,55,67,247
11,2796180,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.14,-0.14,55,67,247
12,2796277,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.07,55,67,247
13,2796374,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,-0.00,1.00,0.14,-0.14,-0.14,55,67,247
14,2796472,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.14,-0.14,55,67,247
15,2796569,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.07,55,67,247
16,2796666,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.28,-0.07,55,67,247
17,2796764,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.14,-0.14,55,67,247
18,2796861,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.14,55,67,247
19,2796958,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.07,55,67,247
20,2797056,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.21,-0.07,55,67,247
21,2797153,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.07,55,67,247
22,2797251,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.07,-0.21,0.00,55,67,247
23,2797348,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.28,-0.14,-0.07,55,67,247
24,2797445,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.21,-0.07,55,67,247
25,2797543,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.21,-0.14,55,67,247
26,2797640,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.01,0.21,-0.21,-0.07,55,67,247
27,2797737,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.14,-0.07,55,67,247
28,2797835,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.07,-0.07,-0.07,55,67,247
