count,timestamp,vane,wing,roll,pitch,yaw,lat,lon,speed,drag,lift,thrust,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,hours,min,sec
0,27226183,-168.7,0.0,0.2,0.0,174.5,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.00,0.14,-0.14,-0.07,55,67,247
1,27226280,-168.7,0.0,0.2,0.0,174.5,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.00,0.14,-0.21,0.00,55,67,247
2,27226378,-168.7,0.0,0.2,0.0,174.5,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.00,0.14,-0.28,-0.14,55,67,247
3,27226475,-168.7,0.0,0.2,0.0,174.5,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.01,0.21,-0.14,-0.07,55,67,247
4,27226572,-168.6,0.0,0.2,0.0,174.5,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.00,0.21,-0.28,-0.07,55,67,247
5,27226670,-168.6,0.0,0.2,0.0,174.5,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.00,0.07,-0.21,-0.14,55,67,247
6,27226767,-168.6,0.0,0.2,0.0,174.5,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.00,0.14,-0.21,-0.07,55,67,247
7,27226864,-168.6,0.0,0.2,0.0,174.5,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.00,0.14,-0.14,0.00,55,67,247
8,27226962,-168.6,0.0,0.2,0.0,174.5,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.01,0.14,-0.14,-0.14,55,67,247
9,27227059,-168.6,0.0,0.2,0.0,174.5,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.00,0.21,-0.21,-0.07,55,67,247
10,27227156,-168.6,0.0,0.2,0.0,174.5,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.00,0.14,-0.21,-0.07,55,67,247
11,27227254,-168.7,0.0,0.2,0.0,174.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.00,0.21,-0.14,-0.07,55,67,247
12,27227351,-168.7,0.0,0.2,0.0,174.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.01,0.21,-0.21,-0.14,55,67,247
13,27227449,-168.7,0.0,0.2,0.0,174.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.00,0.07,-0.28,-0.07,55,67,247
14,27227546,-168.7,0.0,0.2,0.0,174.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.00,0.14,-0.07,-0.14,55,67,247
15,27227643,-168.7,0.0,0.2,0.0,174.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.00,0.14,-0.07,-0.07,55,67,247
16,27227741,-168.7,0.0,0.2,0.0,174.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.01,0.14,-0.28,-0.07,55,67,247
17,27227838,-168.7,0.0,0.2,0.0,174.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.01,0.14,-0.21,-0.07,55,67,247
18,27227935,-168.7,0.0,0.2,0.0,174.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.00,0.07,-0.14,-0.07,55,67,247
19,27228033,-168.7,0.0,0.2,0.0,174.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.00,0.14,-0.14,-0.14,55,67,247
20,27228130,-168.7,0.0,0.2,0.0,174.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.00,0.21,-0.14,-0.07,55,67,247
21,27228227,-168.6,0.0,0.2,0.0,174.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.00,0.14,-0.21,-0.14,55,67,247
22,27228325,-168.6,0.0,0.2,0.0,174.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.01,0.21,-0.21,-0.14,55,67,247
23,27228422,-168.6,0.0,0.2,0.0,174.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.01,0.21,-0.07,-0.07,55,67,247
24,27228519,-168.6,0.0,0.2,0.0,174.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.00,0.07,-0.21,-0.07,55,67,247
25,27228617,-168.6,0.0,0.2,0.0,174.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.00,0.14,-0.28,-0.07,55,67,247
26,27228714,-168.6,0.0,0.2,0.0,174.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.00,0.21,-0.21,-0.07,55,67,247
27,27228812,-168.7,0.0,0.2,0.0,174.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.00,0.14,-0.14,-0.07,55,67,247
28,27228909,-168.7,0.0,0.2,0.0,174.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.01,0.21,-0.14,-0.07,55,67,247
29,27229006,-168.7,0.0,0.2,0.0,174.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.01,0.21,-0.21,-0.07,55,67,247
30,27229104,-168.7,0.0,0.2,0.0,174.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.01,0.21,-0.21,-0.07,55,67,247
31,27229201,-168.7,0.0,0.2,0.0,174.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.00,0.14,-0.21,-0.07,55,67,247
32,27229298,-168.7,0.0,0.2,0.0,174.6,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.00,0.00,1.00,0.07,-0.21,-0.14,55,67,247
