count,timestamp,vane,wing,roll,pitch,yaw,lat,lon,speed,drag,lift,thrust,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,hours,min,sec
0,15601105,-168.6,0.0,0.1,0.5,181.0,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.14,-0.14,55,67,247
1,15601203,-168.6,0.0,0.1,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.07,55,67,247
2,15601300,-168.6,0.0,0.1,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.14,-0.07,55,67,247
3,15601397,-168.6,0.0,0.1,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.14,0.00,55,67,247
4,15601495,-168.6,0.0,0.1,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,-0.00,1.00,0.14,-0.21,-0.14,55,67,247
5,15601592,-168.6,0.0,0.1,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,0.00,55,67,247
6,15601689,-168.6,0.0,0.1,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.14,-0.07,55,67,247
7,15601787,-168.6,0.0,0.1,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.21,-0.07,55,67,247
8,15601884,-168.6,0.0,0.1,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.07,-0.14,-0.07,55,67,247
9,15601981,-168.6,0.0,0.1,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.21,-0.07,55,67,247
10,15602079,-168.6,0.0,0.1,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.07,-0.14,-0.07,55,67,247
11,15602176,-168.6,0.0,0.1,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.14,55,67,247
12,15602274,-168.6,0.0,0.1,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,0.00,55,67,247
13,15602371,-168.6,0.0,0.1,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.28,-0.07,55,67,247
14,15602468,-168.6,0.0,0.1,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.14,-0.07,55,67,247
15,15602566,-168.6,0.0,0.1,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.21,-0.14,55,67,247
16,15602663,-168.6,0.0,0.1,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.07,-0.14,-0.07,55,67,247
17,15602760,-168.6,0.0,0.1,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.14,-0.07,55,67,247
18,15602858,-168.6,0.0,0.1,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.07,-0.07,55,67,247
19,15602955,-168.6,0.0,0.1,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.14,0.00,55,67,247
20,15603052,-168.6,0.0,0.1,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.14,-0.14,55,67,247
21,15603150,-168.6,0.0,0.1,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,-0.00,1.00,0.21,-0.21,-0.07,55,67,247
22,15603247,-168.6,0.0,0.1,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.07,-0.21,-0.07,55,67,247
23,15603345,-168.6,0.0,0.1,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.14,-0.07,55,67,247
24,15603442,-168.6,0.0,0.0,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.07,55,67,247
25,15603539,-168.6,0.0,0.0,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.21,55,67,247
26,15603637,-168.6,0.0,0.0,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.28,-0.07,55,67,247
27,15603734,-168.6,0.0,0.0,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,0.00,55,67,247
28,15603831,-168.6,0.0,0.0,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.14,55,67,247
29,15603929,-168.6,0.0,0.0,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.28,-0.07,55,67,247
30,15604026,-168.6,0.0,0.0,0.5,181.1,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.14,-0.07,55,67,247
31,15604123,-168.6,0.0,0.0,0.5,181.2,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.21,-0.07,55,67,247
32,15604221,-168.6,0.0,0.0,0.5,181.2,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.14,-0.07,55,67,247
33,15604318,-168.6,0.0,0.0,0.5,181.2,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.28,-0.07,55,67,247
34,15604416,-168.6,0.0,0.0,0.5,181.2,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.14,-0.07,55,67,247
35,15604513,-168.6,0.0,0.0,0.5,181.2,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.21,-0.07,55,67,247
36,15604610,-168.6,0.0,0.0,0.5,181.2,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.07,55,67,247
37,15604708,-168.6,0.0,0.0,0.5,181.2,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.07,55,67,247
38,15604805,-168.6,0.0,-0.0,0.5,181.2,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.14,55,67,247
39,15604902,-168.6,0.0,-0.0,0.5,181.2,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.07,55,67,247
40,15605000,-168.6,0.0,-0.0,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.14,55,67,247
41,15605097,-168.6,0.0,-0.0,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.28,-0.14,-0.14,55,67,247
42,15605194,-168.6,0.0,-0.0,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.21,-0.07,55,67,247
43,15605292,-168.6,0.0,-0.0,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.14,-0.14,55,67,247
44,15605389,-168.6,0.0,-0.0,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.28,-0.14,55,67,247
45,15605486,-168.6,0.0,-0.0,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.21,-0.07,55,67,247
46,15605584,-168.6,0.0,-0.0,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.28,-0.07,55,67,247
47,15605681,-168.6,0.0,-0.0,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.07,-0.14,-0.07,55,67,247
48,15605779,-168.6,0.0,-0.0,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.21,-0.07,55,67,247
49,15605876,-168.6,0.0,-0.0,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.14,-0.21,55,67,247
50,15605973,-168.6,0.0,-0.0,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.07,-0.21,0.00,55,67,247
51,15606071,-168.6,0.0,-0.0,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.21,-0.07,55,67,247
52,15606168,-168.6,0.0,-0.0,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.14,-0.07,55,67,247
53,15606265,-168.6,0.0,-0.0,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.07,55,67,247
54,15606363,-168.6,0.0,-0.0,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.07,55,67,247
55,15606460,-168.6,0.0,-0.0,0.5,181.3,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.21,-0.14,55,67,247
