count,timestamp,vane,wing,roll,pitch,yaw,lat,lon,speed,drag,lift,thrust,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,hours,min,sec
0,2772666,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.28,-0.07,55,67,247
1,2772764,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.21,-0.07,55,67,247
2,2772861,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,-0.00,1.00,0.21,-0.14,-0.14,55,67,247
3,2772959,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.14,-0.14,55,67,247
4,2773056,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.14,-0.14,55,67,247
5,2773153,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.07,-0.21,-0.07,55,67,247
6,2773251,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,-0.00,1.00,0.21,-0.21,0.00,55,67,247
7,2773348,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.21,-0.14,55,67,247
8,2773445,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.07,-0.21,-0.07,55,67,247
9,2773543,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.28,-0.07,55,67,247
10,2773640,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.14,-0.07,55,67,247
11,2773737,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.14,-0.14,-0.07,55,67,247
12,2773835,-168.6,0.0,0.1,0.5,180.8,0.000000,0.000000,0.00,0.0,0.0,1.2,-0.01,0.00,1.00,0.21,-0.14,-0.07,55,67,247
