count,timestamp,vane,wing,roll,pitch,yaw,lat,lon,speed,drag,lift,thrust,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,hours,min,sec
0,63236055,-170.7,0.0,-0.9,-0.7,327.2,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.16,0.65,-0.49,55,67,247
1,63236152,-170.7,0.0,-1.0,-0.8,327.0,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.09,0.58,-0.49,55,67,247
2,63236250,-170.7,0.0,-1.1,-0.8,326.9,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.09,0.65,-0.49,55,67,247
3,63236347,-170.7,0.0,-1.1,-0.8,326.7,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.09,0.65,-0.42,55,67,247
4,63236444,-170.7,0.0,-1.1,-0.9,326.6,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.09,0.65,-0.49,55,67,247
5,63236542,-170.7,0.0,-1.1,-0.9,326.5,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.09,0.65,-0.49,55,67,247
6,63236639,-170.7,0.0,-0.9,-0.7,326.6,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.09,0.72,-0.49,55,67,247
7,63236737,-170.7,0.0,-0.8,-0.7,326.6,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.09,0.65,-0.42,55,67,247
8,63236834,-170.7,0.0,-0.8,-0.7,326.7,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.02,0.65,-0.49,55,67,247
9,63236931,-170.7,0.0,-0.8,-0.6,326.7,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.02,0.65,-0.42,55,67,247
10,63237029,-170.7,0.0,-0.8,-0.6,326.7,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.16,0.65,-0.49,55,67,247
11,63237126,-170.7,0.0,-0.9,-0.7,326.7,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.16,0.72,-0.56,55,67,247
12,63237223,-170.7,0.0,-0.9,-0.7,326.6,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.09,0.58,-0.49,55,67,247
13,63237321,-170.7,0.0,-0.9,-0.7,326.5,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.02,0.65,-0.49,55,67,247
14,63237418,-170.7,0.0,-0.9,-0.7,326.5,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.02,0.65,-0.49,55,67,247
15,63237515,-170.7,0.0,-0.9,-0.7,326.5,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.09,0.65,-0.49,55,67,247
16,63237613,-170.6,0.0,-0.8,-0.6,326.5,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.02,0.65,-0.42,55,67,247
17,63237710,-170.6,0.0,-0.8,-0.6,326.6,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.02,0.65,-0.49,55,67,247
18,63237807,-170.6,0.0,-0.8,-0.6,326.6,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.02,0.58,-0.35,55,67,247
19,63237905,-170.6,0.0,-0.8,-0.6,326.7,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.09,0.51,-0.42,55,67,247
20,63238002,-170.6,0.0,-0.8,-0.6,326.7,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.09,0.65,-0.49,55,67,247
21,63238100,-170.6,0.0,-0.8,-0.6,326.7,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.09,0.65,-0.49,55,67,247
22,63238197,-170.6,0.0,-0.8,-0.6,326.7,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.09,0.72,-0.49,55,67,247
23,63238294,-170.6,0.0,-0.8,-0.6,326.7,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.09,0.65,-0.42,55,67,247
24,63238392,-170.7,0.0,-0.8,-0.6,326.7,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.09,0.65,-0.42,55,67,247
25,63238489,-170.7,0.0,-0.8,-0.6,326.8,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.09,0.58,-0.49,55,67,247
26,63238586,-170.7,0.0,-0.8,-0.6,326.8,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.02,0.58,-0.42,55,67,247
27,63238684,-170.7,0.0,-0.8,-0.7,326.8,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.09,0.65,-0.56,55,67,247
28,63238781,-170.7,0.0,-0.8,-0.7,326.8,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.09,0.65,-0.42,55,67,247
29,63238878,-170.7,0.0,-0.8,-0.7,326.8,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.09,0.65,-0.42,55,67,247
30,63238976,-170.7,0.0,-0.8,-0.7,326.8,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.02,0.65,-0.49,55,67,247
31,63239073,-170.7,0.0,-0.8,-0.6,326.8,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.02,0.65,-0.49,55,67,247
32,63239170,-170.7,0.0,-0.8,-0.6,326.8,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.02,0.58,-0.42,55,67,247
33,63239268,-170.7,0.0,-0.8,-0.6,326.8,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.09,0.65,-0.49,55,67,247
34,63239365,-170.7,0.0,-0.9,-0.6,326.8,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.02,0.65,-0.49,55,67,247
35,63239463,-170.7,0.0,-0.8,-0.6,326.8,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.02,0.58,-0.42,55,67,247
36,63239560,-170.7,0.0,-0.8,-0.6,326.9,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.02,0.58,-0.49,55,67,247
37,63239657,-170.7,0.0,-0.7,-0.6,327.0,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.09,0.65,-0.49,55,67,247
38,63239755,-170.7,0.0,-0.7,-0.5,327.1,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.09,0.58,-0.49,55,67,247
39,63239852,-170.7,0.0,-0.7,-0.5,327.2,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.09,0.65,-0.49,55,67,247
40,63239949,-170.7,0.0,-0.7,-0.5,327.3,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.09,0.65,-0.42,55,67,247
41,63240047,-170.7,0.0,-0.8,-0.6,327.4,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.09,0.65,-0.42,55,67,247
42,63240144,-170.7,0.0,-0.8,-0.6,327.3,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.09,0.65,-0.49,55,67,247
43,63240241,-170.7,0.0,-0.8,-0.7,327.3,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.09,0.65,-0.42,55,67,247
44,63240339,-170.7,0.0,-0.8,-0.7,327.3,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.02,0.65,-0.42,55,67,247
45,63240436,-170.7,0.0,-0.8,-0.7,327.3,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.09,0.65,-0.42,55,67,247
46,63240533,-170.7,0.0,-0.8,-0.7,327.3,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.09,0.65,-0.42,55,67,247
47,63240631,-170.7,0.0,-0.8,-0.7,327.3,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.09,0.65,-0.49,55,67,247
48,63240728,-170.7,0.0,-0.8,-0.7,327.3,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.02,0.58,-0.49,55,67,247
49,63240826,-170.7,0.0,-0.8,-0.7,327.3,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.09,0.65,-0.49,55,67,247
50,63240923,-170.7,0.0,-0.8,-0.7,327.3,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.02,0.65,-0.49,55,67,247
51,63241020,-170.7,0.0,-0.9,-0.7,327.4,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.09,0.65,-0.42,55,67,247
52,63241118,-170.7,0.0,-0.9,-0.7,327.3,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.09,0.58,-0.49,55,67,247
53,63241215,-170.7,0.0,-0.9,-0.7,327.3,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.09,0.65,-0.42,55,67,247
54,63241312,-170.7,0.0,-0.9,-0.7,327.2,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.02,0.65,-0.42,55,67,247
55,63241410,-170.7,0.0,-0.9,-0.7,327.2,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.02,0.65,-0.49,55,67,247
56,63241507,-170.7,0.0,-0.9,-0.7,327.1,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.16,0.65,-0.49,55,67,247
57,63241604,-170.7,0.0,-0.8,-0.6,327.2,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.16,0.65,-0.49,55,67,247
58,63241702,-170.7,0.0,-0.8,-0.6,327.3,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.02,0.65,-0.42,55,67,247
59,63241799,-170.7,0.0,-0.8,-0.6,327.4,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.09,0.65,-0.49,55,67,247
60,63241897,-170.7,0.0,-0.7,-0.6,327.4,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.02,0.58,-0.49,55,67,247
61,63241994,-170.7,0.0,-0.8,-0.6,327.5,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.02,1.00,-0.09,0.58,-0.49,55,67,247
62,63242091,-170.7,0.0,-0.8,-0.6,327.4,0.000000,0.000000,0.00,0.0,0.0,1.2,0.01,-0.01,1.00,-0.09,0.65,-0.49,55,67,247
